10,53,-17
12,65,-21
11,67,-16
12,61,-22
11,60,-15
23,47,0
28,58,12
37,52,1
30,48,9
26,48,9
28,79,0
14,38,-1
14,38,12
21,46,2
25,52,20
41,46,46
54,43,31
61,39,28
56,28,17
43,24,1
52,16,12
73,29,64
50,27,29
43,20,47
59,17,35
42,24,42
18,26,44
28,24,45
24,45,43
8,39,46
11,45,46
4,32,35
-23,33,46
-22,33,53
-3,33,48
2,35,42
-30,7,12
-62,-20,9
-68,-33,7
-87,-61,13
-90,-61,16
-93,-78,12
-83,-83,7
-78,-73,7
-64,-66,7
-52,-61,5
-41,-58,-1
-40,-56,-4
-37,-51,-6
-27,-43,2
-35,-43,1
-36,-42,-2
-35,-44,-1
-32,-44,-1
-29,-50,0
-27,-46,3
-29,-45,0
-30,-56,-1
-30,-59,2
-40,-38,5
-38,-51,-2
-59,-60,-6
-75,-29,0
-66,-47,-1
-60,-36,-2
-58,-26,1
-61,-22,4
-66,-19,5
-60,-19,4
-60,-16,4
-60,-16,5
-59,-17,4
-54,-18,3
-55,-12,6
-55,-11,7
-51,-5,7
-51,5,10
-55,9,11
-63,16,13
-66,18,12
-69,17,9
-70,15,7
-70,16,7
-68,19,9
-66,21,9
-64,25,8
-65,25,7
-66,24,7
-64,23,7
-60,24,7
-59,24,7
-57,24,8
-57,24,8
-56,24,9
-56,24,9
-57,24,10
-58,23,10
-58,23,10
-58,21,9
-58,20,9
-58,19,8
-59,20,8
-59,20,9
-61,21,9
-62,22,9
-61,22,9
-59,23,9
-58,24,10
-58,24,10
-58,24,10
-58,24,11
-57,25,11
-57,24,11
-57,23,11
-56,23,12
-56,23,12
-58,23,13
-59,11,10
-60,15,14
-73,33,20
-72,21,17
-66,15,18
-63,18,30
-61,19,31
-61,27,36
-55,9,26
-53,10,24
-48,12,27
-45,11,26
-50,16,27
-52,25,34
-56,24,35
-53,24,36
-54,28,36
-66,29,32
-58,37,36
-53,37,33
-34,37,31
-25,39,32
-21,42,37
-19,37,34
-21,35,30
-20,40,32
-34,35,29
-38,30,27
-28,27,31
-32,27,35
-38,26,37
-48,18,38
-48,16,39
-55,20,41
-57,18,42
-57,16,48
-52,27,54
-52,23,51
-57,15,43
-52,10,39
-52,11,40
-56,13,46
-58,15,49
-62,20,51
-52,17,48
-53,17,42
-53,17,41
-57,16,38
-57,12,32
-48,20,34
-44,21,39
-44,16,37
-40,14,35
-35,11,33
-30,10,36
-32,8,36
-27,9,42
-22,8,48
-19,7,51
-20,6,55
-21,11,58
-26,11,57
-35,4,53
-35,2,52
-31,7,54
-32,12,56
-39,15,58
-32,13,57
-28,12,56
-30,9,55
-29,10,57
-29,12,57
-33,14,57
-30,16,58
-28,16,57
-30,12,54
-29,10,53
-26,15,53
-21,12,51
-22,12,49
-23,11,44
-21,11,42
-36,12,40
-37,11,39
-36,16,33
-37,17,25
-39,10,19
-38,5,7
-57,6,-10
-68,-2,-19
-82,-15,-35
-86,-11,-38
-91,3,-38
-81,1,-38
-76,-3,-39
-79,3,-27
-86,6,-24
-85,5,-26
-82,13,-22
-81,13,-23
-84,21,-18
-84,17,-17
-76,20,-13
-48,21,-4
